Round Number,Day of the game,Date of the game,Time of the game,First team name,First team score,First team win status,Second team name,Second team score,Game location,Stadium Attendees
3,Saturday,10 September,12:10 pm,Adelaide,30,def.,North Melbourne,16,Wigan Oval,2034
3,Saturday,10 September,2:40 pm,Sydney,18,def. by,Greater Western Sydney,65,Sydney Cricket Ground,4233
3,Saturday,10 September,4:10 pm,Geelong,11,def. by,Collingwood,15,GMHBA Stadium,1957
3,Saturday,10 September,4:40 pm,Brisbane,82,def.,Gold Coast,9,The Gabba,2582
3,Sunday,11 September,12:10 pm,Carlton,27,drew with,Port Adelaide,27,Ikon Park,1664
3,Sunday,11 September,2:10 pm,St Kilda,20,def. by,Narrm,46,RSEA Park,2758
3,Sunday,11 September,4:10 pm,Richmond,44,def.,Hawthorn,9,Swinburne Centre,2031
3,Sunday,11 September,4:10 pm,West Coast,32,def. by,Essendon,84,Mineral Resources Park,1501
4,Friday,16 September,5:10 pm,North Melbourne,28,def.,Geelong,16,University of Tasmania Stadium,540
4,Saturday,17 September,11:10 am,Greater Western Sydney,9,def. by,West Coast,16,Giants Stadium,727
4,Saturday,17 September,12:05 pm,Gold Coast,42,def.,St Kilda,28,Great Barrier Reef Arena,1117
4,Saturday,17 September,12:40 pm,Port Adelaide,68,def.,Sydney,2,Alberton Oval,2741
4,Saturday,17 September,12:05 pm,Fremantle,32,drew with,Carlton,32,Fremantle Community Bank Oval,1023
4,Saturday,17 September,3:10 pm,Hawthorn,7,def. by,Western Bulldogs,37,Box Hill City Oval,1108
4,Sunday,18 September,12:10 pm,Collingwood,16,def. by,Adelaide,21,Victoria Park,876
4,Sunday,18 September,2:10 pm,Essendon,24,def. by,Richmond,26,ETU Stadium,3044
4,Sunday,18 September,4:10 pm,Narrm,27,def. by,Brisbane,42,Casey Fields,757
5,Thursday,22 September,1:10 pm,West Coast,23,def. by,Fremantle,26,Optus Stadium,6552
5,Thursday,22 September,5:10 pm,Geelong,71,def.,St Kilda,21,GMHBA Stadium,2898
5,Friday,23 September,12:40 pm,Western Bulldogs,28,def. by,North Melbourne,43,Swinburne Centre,2121
5,Friday,23 September,3:10 pm,Collingwood,28,def.,Essendon,17,AIA Vitality Centre,3412
5,Friday,23 September,5:10 pm,Sydney,31,def. by,Hawthorn,35,Swinburne Centre,2055
5,Friday,23 September,7:30 pm,Carlton,8,def. by,Melbourne,50,Ikon Park,1580
5,Saturday,24 September,11:10 am,Richmond,18,def.,Brisbane,14,Swinburne Centre,1426
5,Sunday,25 September,1:10 pm,Gold Coast,46,def.,Port Adelaide,32,Bond University,1419
5,Sunday,25 September,2:40 pm,Adelaide,97,def.,Greater Western Sydney,1,Wigan Oval,1991
6,Friday,30 September,6:10 pm,Hawthorn,44,def.,West Coast,41,SkyBus Stadium,1560
6,Friday,30 September,7:30 pm,Port Adelaide,3,def. by,Adelaide,63,Adelaide Oval,20652
6,Saturday,1 October,12:10 pm,Greater Western Sydney,29,def.,Carlton,12,Henson Park,1162
6,Saturday,1 October,2:10 pm,Western Bulldogs,36,def. by,Geelong,37,Mars Stadium,1731
6,Saturday,1 October,4:10 pm,St Kilda,34,def. by,Collingwood,36,RSEA Park,2578
6,Saturday,1 October,6:10 pm,Richmond,23,def.,Gold Coast,19,Swinburne Centre,1644
6,Sunday,2 October,12:10 pm,Brisbane,62,def.,Essendon,18,Moreton Bay Central Sports Complex,1477
6,Sunday,2 October,12:10 pm,Fremantle,36,def. by,Melbourne,66,Fremantle Community Bank Oval,1548
6,Sunday,2 October,5:10 pm,North Melbourne,67,def.,Sydney,1,Swinburne Centre,1356
7,Friday,7 October,6:10 pm,St Kilda,17,def. by,Carlton,44,RSEA Park,1234
7,Friday,7 October,5:10 pm,West Coast,24,def. by,Richmond,43,Mineral Resources Park,1259
7,Saturday,8 October,1:10 pm,Sydney,15,def. by,Gold Coast,49,Henson Park,1619
7,Saturday,8 October,2:40 pm,Adelaide,49,def.,Fremantle,31,Wigan Oval,2800
7,Saturday,8 October,5:10 pm,North Melbourne,26,def. by,Brisbane,33,Arden Street Oval,1644
7,Saturday,8 October,7:10 pm,Hawthorn,29,def.,Port Adelaide,16,SkyBus Stadium,2029
7,Sunday,9 October,1:10 pm,Essendon,28,def. by,Geelong,43,Reid Oval,4560
